epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.37278754,0.23616412,0.19627507,0.7611704,20.0,-2.8408399,0.0,100.0,0.0
1,0.37905622,0.23512736,0.19699596,0.7497213,40.0,-4.8998823,0.0,200.0,0.0
2,0.3800057,0.23494117,0.19700952,0.7437019,60.0,-7.1532974,0.0,300.0,0.0
3,0.3802883,0.23606077,0.19657408,0.7419063,80.0,-9.205645,0.0,400.0,0.0
4,0.38019833,0.2358511,0.19636449,0.74212694,100.0,-11.227935,0.005000000074505806,500.0,0.0
5,0.38021034,0.23629268,0.19632734,0.74344945,120.0,-12.969501,0.0,600.0,0.0
6,0.38027024,0.23691276,0.1962611,0.7453192,140.0,-14.8997345,0.005000000074505806,700.0,0.0029999999329447745
7,0.37957612,0.23752317,0.19613922,0.7488699,160.0,-16.228764,0.010000000149011612,800.0,0.0029999999329447745
8,0.37897053,0.23851165,0.19610383,0.7536796,180.0,-18.009214,0.015000000223517418,900.0,0.0029999999329447745
9,0.37829396,0.23928204,0.19595595,0.7587957,200.0,-19.656517,0.005000000074505806,1000.0,0.008999999798834323
10,0.37815934,0.23930791,0.19593443,0.7647761,220.0,-20.06528,0.03500000089406967,1100.0,0.010999999940395355
11,0.37776977,0.23951802,0.1960229,0.771142,240.0,-20.687307,0.045000001415610315,1200.0,0.005999999865889549
12,0.3771641,0.23992011,0.19592875,0.7779031,260.0,-22.124191,0.06500000134110451,1300.0,0.006999999843537807
13,0.3767435,0.24029425,0.19594339,0.78457844,280.0,-22.083767,0.04000000059604645,1400.0,0.013999999687075614
14,0.3763881,0.24054869,0.1960923,0.7917979,300.0,-22.962376,0.07500000149011612,1500.0,0.01899999976158142
15,0.37632173,0.24074087,0.19641705,0.79968274,320.0,-23.504795,0.07000000067055226,1600.0,0.019
16,0.37626582,0.24091418,0.1965727,0.8073677,340.0,-23.08067,0.06500000134110451,1700.0,0.019
17,0.37640786,0.24084398,0.19666053,0.8156778,360.0,-20.845676,0.09500000104308129,1800.0,0.015999999
18,0.376421,0.24077675,0.19644709,0.8237899,380.0,-19.175465,0.14000000730156897,1900.0,0.024
19,0.37662575,0.24064414,0.19633552,0.8319424,400.0,-19.790192,0.1200000025331974,2000.0,0.02799999937415123
20,0.3767116,0.24045095,0.19604884,0.84006375,420.0,-18.348948,0.155,2100.0,0.033
21,0.37694755,0.24034646,0.19585945,0.8481127,440.0,-19.62768,0.13999999836087226,2200.0,0.043
22,0.3769608,0.24043941,0.19558285,0.85536134,460.0,-18.859936,0.135,2300.0,0.030999999865889548
23,0.377006,0.24029855,0.19539766,0.8625862,480.0,-20.507008,0.155,2400.0,0.036999997
24,0.37710434,0.24030623,0.19526061,0.8693306,500.0,-19.41681,0.1400000024586916,2500.0,0.043
25,0.37723598,0.24021275,0.19512656,0.8753542,520.0,-15.131277,0.205,2600.0,0.033
26,0.37712488,0.24006304,0.19494468,0.8810662,540.0,-15.965283,0.19500000178813934,2700.0,0.035
27,0.37724373,0.23978598,0.19473198,0.8866704,560.0,-17.790035,0.17,2800.0,0.035
28,0.37725952,0.23969662,0.19466814,0.8918759,580.0,-17.292904,0.16,2900.0,0.066
29,0.3771492,0.23963793,0.19443882,0.8965758,600.0,-16.582882,0.2,3000.0,0.05
30,0.37716436,0.23954041,0.19428493,0.9013044,620.0,-17.479939,0.215,3100.0,0.043
31,0.3770284,0.23949638,0.194094,0.9057124,640.0,-14.466415,0.26000002,3200.0,0.05
32,0.37693903,0.23937614,0.19386823,0.9098938,660.0,-15.469152,0.185,3300.0,0.044999998
33,0.3769848,0.2392762,0.19368094,0.91363347,680.0,-14.522097,0.205,3400.0,0.058999997
34,0.37681982,0.23917453,0.1934878,0.917218,700.0,-16.262432,0.19000001,3500.0,0.062
35,0.3768917,0.23903993,0.1933377,0.9207894,720.0,-15.362706,0.205,3600.0,0.060999997
36,0.37700468,0.23892026,0.19314209,0.92414725,740.0,-13.688034,0.245,3700.0,0.044
37,0.37696868,0.23878285,0.19302611,0.92732126,760.0,-12.0976715,0.23499998,3800.0,0.055
38,0.3769868,0.23868354,0.1929244,0.9303797,780.0,-14.073961,0.25,3900.0,0.058
39,0.37693006,0.23859945,0.19280715,0.9332806,800.0,-13.064723,0.255,4000.0,0.063999996
40,0.376929,0.23847859,0.19266856,0.93591607,820.0,-12.767451,0.275,4100.0,0.057
41,0.3769112,0.23843503,0.19251344,0.93846166,840.0,-11.88151,0.25500003,4200.0,0.067
42,0.37695053,0.23837027,0.19239114,0.9408485,860.0,-12.211029,0.28000003,4300.0,0.071
43,0.37695652,0.23826763,0.19228859,0.9430601,880.0,-11.323314,0.25499997,4400.0,0.063999996
44,0.37708125,0.23810251,0.19218922,0.9452718,900.0,-11.362386,0.35999998,4500.0,0.073
45,0.37721774,0.23791388,0.19209227,0.94736683,920.0,-12.603607,0.325,4600.0,0.068
46,0.37737936,0.23784086,0.19200319,0.9493696,940.0,-11.152265,0.33999997,4700.0,0.062
47,0.37740844,0.23773627,0.19187248,0.95124424,960.0,-11.291179,0.29000002,4800.0,0.073
48,0.37746993,0.237601,0.1917947,0.9530166,980.0,-10.717535,0.3,4900.0,0.077
49,0.37749848,0.23753591,0.1917089,0.95475894,1000.0,-10.602719,0.24499997,5000.0,0.068
