epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.38097438,0.2384046,0.11527634,0.38816974,20.0,-2.9508767,0.0,100.0,0.0
1,0.3827077,0.23881134,0.11307301,0.38805294,40.0,-4.7983904,0.0,200.0,0.0
2,0.382423,0.23765633,0.11243224,0.38581946,60.0,-6.869355,0.0,300.0,0.0
3,0.38295248,0.23684378,0.1126647,0.38557717,80.0,-8.837343,0.005000000074505806,400.0,0.0
4,0.38350296,0.23679152,0.112708434,0.38639182,100.0,-11.014395,0.0,500.0,0.0
5,0.38307062,0.23731664,0.112566456,0.3875684,120.0,-12.861033,0.0,600.0,0.0
6,0.38369423,0.23774111,0.112205006,0.38831055,140.0,-14.177231,0.005000000074505806,700.0,0.0009999999776482583
7,0.38402042,0.23847587,0.11195757,0.38916162,160.0,-15.608007,0.02500000037252903,800.0,0.003999999910593033
8,0.3835854,0.2392222,0.11163952,0.39073586,180.0,-16.861149,0.04000000096857548,900.0,0.003999999910593033
9,0.38368407,0.23947029,0.111359514,0.3931733,200.0,-18.594397,0.015000000223517418,1000.0,0.003999999910593033
10,0.38323635,0.23971131,0.11089639,0.3963871,220.0,-18.955463,0.03500000089406967,1100.0,0.003999999910593033
11,0.3826695,0.2401227,0.110576585,0.40009698,240.0,-20.314734,0.03500000089406967,1200.0,0.011999999731779098
12,0.38274023,0.24030897,0.11036359,0.40376872,260.0,-21.26239,0.02500000037252903,1300.0,0.009999999590218068
13,0.38200668,0.24055342,0.11023469,0.4076702,280.0,-20.966228,0.030000000447034835,1400.0,0.01699999962002039
14,0.38183,0.24055621,0.110057995,0.41152325,300.0,-20.899584,0.105000004,1500.0,0.018999999575316905
15,0.38171837,0.24067052,0.109851636,0.4156382,320.0,-21.136496,0.10000000260770321,1600.0,0.025999999
16,0.3815164,0.2404362,0.10956313,0.41992182,340.0,-20.825375,0.0950000025331974,1700.0,0.04100000001490116
17,0.38151255,0.24053128,0.10922891,0.42416868,360.0,-20.79131,0.1350000023841858,1800.0,0.037999998405575754
18,0.38149762,0.24037096,0.109018266,0.42832452,380.0,-18.65959,0.16,1900.0,0.033
19,0.38124347,0.24030738,0.108707026,0.43224066,400.0,-18.432625,0.165,2000.0,0.034
20,0.38118693,0.24015954,0.10846062,0.43604976,420.0,-16.821573,0.21,2100.0,0.04
21,0.38096946,0.23999801,0.10823546,0.43970793,440.0,-18.93053,0.19500001,2200.0,0.048
22,0.38100573,0.23982671,0.108010806,0.44313946,460.0,-16.572546,0.2,2300.0,0.048
23,0.38080582,0.2397776,0.10779482,0.44627315,480.0,-17.005606,0.19000000208616258,2400.0,0.063999996
24,0.38092205,0.23968959,0.10759441,0.44909483,500.0,-17.509388,0.22,2500.0,0.066
25,0.38070416,0.23962736,0.10742019,0.4517643,520.0,-13.128306,0.24499997,2600.0,0.077
26,0.38078237,0.2395409,0.10730833,0.45435724,540.0,-13.041043,0.23499998,2700.0,0.073
27,0.38083807,0.23941204,0.10717629,0.4566768,560.0,-13.339658,0.28,2800.0,0.080000006
28,0.3808346,0.23931637,0.10708922,0.45886526,580.0,-12.277205,0.26000002,2900.0,0.057
29,0.38077256,0.23922274,0.10697272,0.4609713,600.0,-10.318545,0.41,3000.0,0.07000001
30,0.38075718,0.23912755,0.10685663,0.462953,620.0,-11.349667,0.35999998,3100.0,0.073
31,0.3806762,0.2390571,0.106753096,0.4647271,640.0,-11.787828,0.35999998,3200.0,0.077
32,0.38079637,0.23889086,0.106654145,0.46629485,660.0,-11.788011,0.38000003,3300.0,0.088
33,0.3807981,0.23876294,0.10656736,0.46779722,680.0,-10.375888,0.385,3400.0,0.094000004
34,0.38067177,0.23856647,0.106526695,0.46926337,700.0,-11.705973,0.375,3500.0,0.10700001
35,0.3806734,0.23849007,0.10642554,0.47063985,720.0,-11.226301,0.39,3600.0,0.089
36,0.38077208,0.23832965,0.10630252,0.4719452,740.0,-9.686543,0.41,3700.0,0.105000004
37,0.38077933,0.23817077,0.10625424,0.4731551,760.0,-9.721518,0.385,3800.0,0.100999996
38,0.38082486,0.23803551,0.10617955,0.47428617,780.0,-9.880068,0.42000002,3900.0,0.09499999
39,0.38086957,0.23787603,0.10612371,0.4753529,800.0,-8.516388,0.46000004,4000.0,0.10599999
40,0.38073778,0.23780385,0.106051885,0.47637635,820.0,-7.9299073,0.525,4100.0,0.096999995
41,0.3806362,0.23770747,0.10597708,0.47729626,840.0,-8.35813,0.41500002,4200.0,0.1
42,0.38056996,0.23762801,0.10594537,0.47819534,860.0,-9.806072,0.395,4300.0,0.096
43,0.38060266,0.23749678,0.10588874,0.4790743,880.0,-9.467697,0.395,4400.0,0.097
44,0.3806655,0.23743454,0.10583879,0.47992486,900.0,-9.0573845,0.45,4500.0,0.112
45,0.38061646,0.23731431,0.10579918,0.48071045,920.0,-8.396509,0.43999997,4600.0,0.125
46,0.38068816,0.23723641,0.105777465,0.48146668,940.0,-9.124925,0.39000002,4700.0,0.106000006
47,0.38065746,0.23710391,0.105746664,0.4821958,960.0,-8.192205,0.45,4800.0,0.129
48,0.38073745,0.23704979,0.105748855,0.4828786,980.0,-8.2397995,0.47999996,4900.0,0.13900001
49,0.3807366,0.23701863,0.10570265,0.48351425,1000.0,-8.327387,0.48000002,5000.0,0.12100001
50,0.38075477,0.23690252,0.10567198,0.48408374,1020.0,-8.281107,0.425,5100.0,0.12799999
51,0.380811,0.23677762,0.10562728,0.48465982,1040.0,-9.284093,0.41500002,5200.0,0.132
52,0.3807396,0.23663099,0.105538785,0.48521128,1060.0,-7.8527055,0.53999996,5300.0,0.124
53,0.38070175,0.2365649,0.105483375,0.4857534,1080.0,-6.7575088,0.555,5400.0,0.142
54,0.38071662,0.23644586,0.10542734,0.48626956,1100.0,-7.24524,0.58500004,5500.0,0.13899998
55,0.3807188,0.23636565,0.10538049,0.48677665,1120.0,-8.594683,0.5,5600.0,0.13999999
56,0.38079816,0.23625353,0.1053342,0.4871878,1140.0,-9.387762,0.475,5700.0,0.133
57,0.38092896,0.23618169,0.10531302,0.48760265,1160.0,-8.391741,0.46999997,5800.0,0.13399999
58,0.38095257,0.23610738,0.10526593,0.4879991,1180.0,-8.412384,0.53000003,5900.0,0.14500001
59,0.3808692,0.23602073,0.10524069,0.48840052,1200.0,-7.4265404,0.56,6000.0,0.14500001
60,0.38084546,0.2359258,0.10522021,0.48878652,1220.0,-9.749929,0.56000006,6100.0,0.15100001
61,0.38080743,0.23587254,0.105208024,0.48916492,1240.0,-7.014894,0.59000003,6200.0,0.132
62,0.38078734,0.23583654,0.105192885,0.48953146,1260.0,-7.6457567,0.61,6300.0,0.15799999
63,0.38070545,0.23580682,0.10517118,0.4898793,1280.0,-7.622576,0.59000003,6400.0,0.16
64,0.3807454,0.2357217,0.10518172,0.49022856,1300.0,-7.4999633,0.57000005,6500.0,0.133
