epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.36973378,0.24305034,0.10238959,0.38755503,20.0,-3.1838102,0.0,100.0,0.0
1,0.37404323,0.24063675,0.106405534,0.38598007,40.0,-5.0875397,0.0,200.0,0.0
2,0.3767186,0.23929915,0.1097366,0.3854775,60.0,-7.0849276,0.0,300.0,0.0009999999776482583
3,0.37746686,0.23890653,0.11060717,0.38410804,80.0,-9.050442,0.0,400.0,0.0
4,0.37844363,0.23849499,0.11093815,0.38446984,100.0,-10.988964,0.0,500.0,0.0
5,0.38017175,0.23871613,0.11072819,0.38519436,120.0,-12.713867,0.010000000149011612,600.0,0.0009999999776482583
6,0.38060117,0.23951253,0.11063478,0.38667902,140.0,-14.409228,0.0,700.0,0.0009999999776482583
7,0.38044336,0.23991224,0.11055652,0.38811255,160.0,-15.433569,0.005000000074505806,800.0,0.0009999999776482583
8,0.38050953,0.24064009,0.11046491,0.39001915,180.0,-16.994373,0.015000000223517418,900.0,0.003999999910593033
9,0.38025805,0.2412661,0.110327676,0.39233792,200.0,-17.653072,0.02500000037252903,1000.0,0.003999999910593033
10,0.38068888,0.24152824,0.11016053,0.39494133,220.0,-18.35386,0.08000000081956386,1100.0,0.011999999731779098
11,0.381045,0.2419084,0.110140815,0.3977415,240.0,-19.251562,0.02500000037252903,1200.0,0.013999999687075614
12,0.38123006,0.24206045,0.11011324,0.40165448,260.0,-19.506577,0.06500000134110451,1300.0,0.011999999731779098
13,0.3811472,0.24210003,0.11018171,0.4055211,280.0,-20.093918,0.10000000260770321,1400.0,0.024999999068677427
14,0.38104412,0.2421639,0.11009505,0.4094389,300.0,-20.184113,0.09500000141561031,1500.0,0.022999999672174455
15,0.38133433,0.24208537,0.10998044,0.41316897,320.0,-20.254139,0.09500000178813935,1600.0,0.025999999
16,0.38152167,0.24200353,0.10994885,0.41722575,340.0,-19.892471,0.13,1700.0,0.028
17,0.38168794,0.24186161,0.10982464,0.42124206,360.0,-18.952091,0.14,1800.0,0.041
18,0.38177678,0.2416558,0.10975512,0.42550713,380.0,-18.149708,0.12499999105930329,1900.0,0.048
19,0.38167003,0.24155322,0.10954739,0.4293882,400.0,-18.207289,0.185,2000.0,0.041
20,0.38158488,0.24122187,0.109274045,0.43325156,420.0,-16.889748,0.175,2100.0,0.052999996
21,0.38170737,0.24097213,0.109105095,0.43670735,440.0,-16.134027,0.19000001,2200.0,0.052999996
22,0.38165388,0.24086908,0.109058544,0.43996137,460.0,-14.952568,0.215,2300.0,0.052999996
23,0.38170186,0.2406332,0.10893494,0.44306335,480.0,-14.317668,0.275,2400.0,0.058
24,0.38157097,0.24051604,0.10882715,0.44601354,500.0,-14.499827,0.24000001,2500.0,0.063
25,0.381509,0.24028024,0.10866226,0.44883928,520.0,-13.20929,0.23499998,2600.0,0.072000004
26,0.3814444,0.24012628,0.1085016,0.451257,540.0,-16.111502,0.26,2700.0,0.061
27,0.3816397,0.23991975,0.10837388,0.45364326,560.0,-14.450205,0.275,2800.0,0.066999994
28,0.381501,0.23983267,0.108271815,0.45587224,580.0,-16.949638,0.22,2900.0,0.091000006
29,0.38163114,0.23958895,0.108163334,0.4578887,600.0,-12.402368,0.32999998,3000.0,0.08800001
30,0.38153884,0.2395449,0.10803801,0.45973435,620.0,-13.265368,0.31,3100.0,0.082
31,0.38151821,0.23950426,0.10790832,0.46158114,640.0,-14.480563,0.285,3200.0,0.072
32,0.3813534,0.2394472,0.10781257,0.46326953,660.0,-12.541173,0.345,3300.0,0.087
33,0.38112187,0.23941717,0.10769729,0.46478957,680.0,-12.115237,0.3,3400.0,0.089999996
34,0.38106585,0.23928161,0.10764005,0.46634358,700.0,-11.98567,0.295,3500.0,0.076
35,0.3812329,0.23919196,0.10757737,0.4677515,720.0,-12.1785145,0.33999997,3600.0,0.08400001
36,0.38119873,0.23895088,0.10746143,0.46908015,740.0,-12.173488,0.315,3700.0,0.111
37,0.3810527,0.23886089,0.107354954,0.470311,760.0,-12.797448,0.315,3800.0,0.092
38,0.3808259,0.23879275,0.107286856,0.47146034,780.0,-10.388664,0.385,3900.0,0.09899999
39,0.3806553,0.2387346,0.10725834,0.47262627,800.0,-13.771494,0.325,4000.0,0.087
40,0.3805001,0.2387321,0.10726943,0.4737072,820.0,-9.823683,0.40500003,4100.0,0.095000006
41,0.38050213,0.23859212,0.1072466,0.4748079,840.0,-10.074525,0.35,4200.0,0.089
42,0.3805297,0.23848236,0.1072178,0.47583684,860.0,-10.440373,0.39,4300.0,0.103999995
43,0.3804597,0.23834184,0.10717672,0.47684288,880.0,-9.38857,0.41,4400.0,0.100999996
44,0.38040695,0.23822458,0.107148685,0.477789,900.0,-9.574864,0.395,4500.0,0.102
45,0.38031873,0.23810688,0.10710341,0.47864828,920.0,-9.063433,0.42,4600.0,0.098000005
46,0.38035592,0.23803301,0.107035026,0.47946373,940.0,-8.50091,0.525,4700.0,0.092999995
47,0.3803273,0.23794398,0.107021354,0.48025307,960.0,-10.179842,0.455,4800.0,0.127
48,0.3802412,0.23779836,0.10697259,0.48094982,980.0,-8.869563,0.56,4900.0,0.111
49,0.38015795,0.23769315,0.10693178,0.48163858,1000.0,-8.756777,0.395,5000.0,0.096999995
