epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.33446842,0.15915741,0.10724078,0.35082048,20.0,-3.0239418,0.0,100.0,0.0
1,0.33786616,0.1580248,0.10464679,0.34732378,40.0,-5.1240883,0.0,200.0,0.0
2,0.339971,0.15767391,0.10350488,0.34442732,60.0,-7.2512283,0.0,300.0,0.0
3,0.3408915,0.15737823,0.10340239,0.3434812,80.0,-9.313711,0.0,400.0,0.0009999999776482583
4,0.34112176,0.15761277,0.10362373,0.34438083,100.0,-11.251715,0.0,500.0,0.0019999999552965165
5,0.34103465,0.15766147,0.10385959,0.34582022,120.0,-13.430708,0.0,600.0,0.0
6,0.34124017,0.15907289,0.10395978,0.34881234,140.0,-14.931767,0.0,700.0,0.0009999999776482583
7,0.34123752,0.160912,0.10374395,0.35110563,160.0,-16.487463,0.0,800.0,0.0009999999776482583
8,0.34204817,0.16243751,0.10375847,0.35329604,180.0,-17.778881,0.015000000223517418,900.0,0.0
9,0.34244516,0.16377166,0.10374783,0.35719374,200.0,-19.006912,0.02500000037252903,1000.0,0.003999999910593033
10,0.3430614,0.16482551,0.10379578,0.36060208,220.0,-20.020235,0.020000000298023225,1100.0,0.0009999999776482583
11,0.34362057,0.16560064,0.103864476,0.36372098,240.0,-20.986061,0.010000000149011612,1200.0,0.0
12,0.34442952,0.16645965,0.10403148,0.36674783,260.0,-22.56282,0.04000000096857548,1300.0,0.0019999999552965165
13,0.3451156,0.1671722,0.10415375,0.36893407,280.0,-23.43581,0.0600000012665987,1400.0,0.0
14,0.3456505,0.16786538,0.10424147,0.3708356,300.0,-23.688965,0.10499999970197678,1500.0,0.0009999999776482583
15,0.34613279,0.16879818,0.10431615,0.37279838,320.0,-25.398067,0.05000000037252903,1600.0,0.0019999999552965165
16,0.34670755,0.16966672,0.10441156,0.37510931,340.0,-26.12045,0.040000001341104506,1700.0,0.0029999999329447745
17,0.34722376,0.17090246,0.10450707,0.3771871,360.0,-27.743958,0.02500000074505806,1800.0,0.0029999999329447745
18,0.3475097,0.17173322,0.10456447,0.3793093,380.0,-28.642105,0.05000000111758709,1900.0,0.0019999999552965165
19,0.34773764,0.17267534,0.10456663,0.3811451,400.0,-27.042337,0.10000000037252903,2000.0,0.006999999843537807
20,0.34777522,0.17354414,0.10455494,0.38312158,420.0,-28.6294,0.0800000011920929,2100.0,0.0009999999776482583
21,0.34805244,0.17428705,0.104677066,0.38516304,440.0,-29.303493,0.060000001639127734,2200.0,0.003999999910593033
22,0.34831294,0.17518528,0.104714714,0.38689223,460.0,-29.571188,0.06000000052154064,2300.0,0.004999999888241291
23,0.34862646,0.1759394,0.10474603,0.38855132,480.0,-30.896917,0.09500000216066837,2400.0,0.0019999999552965165
24,0.34898016,0.1765143,0.10476668,0.39030722,500.0,-30.832508,0.08500000536441803,2500.0,0.003999999910593033
25,0.34915498,0.17700763,0.10479307,0.39190316,520.0,-31.695501,0.07500000037252903,2600.0,0.005999999865889549
26,0.3494358,0.17753862,0.104873955,0.393468,540.0,-32.062546,0.09500000290572644,2700.0,0.0
27,0.34960398,0.17808639,0.104958035,0.3950306,560.0,-32.759327,0.11500000096857547,2800.0,0.006999999843537807
28,0.34983358,0.17867424,0.105043985,0.39664635,580.0,-32.595253,0.125,2900.0,0.007999999821186066
29,0.35015562,0.1792951,0.10509906,0.39810097,600.0,-33.86358,0.0950000025331974,3000.0,0.011999999731779098
30,0.3505325,0.17971298,0.105131015,0.39944547,620.0,-36.518322,0.08500000275671482,3100.0,0.008999999798834323
31,0.3508626,0.1802601,0.10518402,0.4009172,640.0,-33.85907,0.08500000312924386,3200.0,0.009999999776482582
32,0.35115618,0.18083891,0.10520844,0.40220055,660.0,-35.1367,0.13,3300.0,0.004999999888241291
33,0.35150632,0.18130256,0.105325714,0.40360984,680.0,-34.22201,0.11499999538064003,3400.0,0.009999999776482582
34,0.35174435,0.1818497,0.105403565,0.40489405,700.0,-37.04732,0.09500000029802322,3500.0,0.007999999821186066
35,0.3519569,0.18225776,0.10549531,0.40620217,720.0,-35.923725,0.09499999955296516,3600.0,0.011999999545514584
36,0.3523875,0.18282631,0.10554495,0.40752706,740.0,-37.331787,0.0950000025331974,3700.0,0.0019999999552965165
37,0.3526617,0.18347326,0.105562195,0.4086605,760.0,-36.092,0.135,3800.0,0.004999999888241291
38,0.3529308,0.18400247,0.105563104,0.40972266,780.0,-35.959778,0.0950000036507845,3900.0,0.008999999798834323
39,0.35319418,0.18446164,0.10563283,0.4108233,800.0,-36.345142,0.11500001,4000.0,0.004999999888241291
40,0.35353294,0.18489902,0.10571168,0.41214165,820.0,-34.414925,0.165,4100.0,0.008999999798834323
41,0.3539212,0.18525358,0.10577494,0.4134468,840.0,-35.121998,0.13499999940395355,4200.0,0.006999999843537807
42,0.35430822,0.18563807,0.10588093,0.41487926,860.0,-34.854675,0.17000000178813934,4300.0,0.004999999888241291
43,0.35455796,0.18614359,0.10592196,0.41613692,880.0,-36.348408,0.13000000268220901,4400.0,0.009999999590218068
44,0.35470316,0.18660071,0.10586618,0.41714516,900.0,-34.532204,0.17,4500.0,0.007999999821186066
45,0.35492226,0.187073,0.105898306,0.41820732,920.0,-34.11976,0.1500000037252903,4600.0,0.005999999865889549
46,0.3551497,0.18740351,0.105962954,0.41935357,940.0,-36.734505,0.13000001,4700.0,0.006999999843537807
47,0.35538006,0.18774162,0.10598983,0.42028084,960.0,-39.25341,0.14500001,4800.0,0.012999999523162841
48,0.3555852,0.18805437,0.1060354,0.4212312,980.0,-38.28611,0.14500001,4900.0,0.011999999545514584
49,0.35582116,0.18829095,0.10609539,0.42212892,1000.0,-35.883472,0.13499999791383743,5000.0,0.008999999798834323
50,0.3560329,0.18848081,0.106166564,0.42297888,1020.0,-39.897522,0.11,5100.0,0.008999999798834323
51,0.35615987,0.18873705,0.106194004,0.4237693,1040.0,-33.887978,0.25,5200.0,0.014999999664723873
