epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.34521824,0.1553415,0.099672206,0.3493828,20.0,-3.327842,0.0,100.0,0.0
1,0.3458138,0.15612556,0.10024555,0.34474006,40.0,-5.4280944,0.0,200.0,0.0
2,0.34500852,0.15659602,0.10115905,0.34330863,60.0,-7.5855255,0.0,300.0,0.0019999999552965165
3,0.34472185,0.15639286,0.10153494,0.34211418,80.0,-9.78492,0.005000000074505806,400.0,0.0009999999776482583
4,0.3438155,0.15687843,0.10165133,0.34275603,100.0,-11.708345,0.0,500.0,0.0
5,0.34325185,0.15725017,0.10158311,0.34288293,120.0,-13.564728,0.0,600.0,0.0009999999776482583
6,0.342858,0.15804397,0.10146733,0.34304368,140.0,-15.795657,0.0,700.0,0.0009999999776482583
7,0.3425467,0.15922996,0.10150542,0.3435406,160.0,-17.446348,0.0,800.0,0.0009999999776482583
8,0.3426984,0.15976202,0.10158124,0.34456605,180.0,-18.919243,0.0,900.0,0.0019999999552965165
9,0.34279543,0.15999047,0.10171275,0.34706357,200.0,-20.589375,0.005000000074505806,1000.0,0.0009999999776482583
10,0.34313434,0.16073675,0.10188882,0.34970143,220.0,-21.648285,0.005000000074505806,1100.0,0.0
11,0.34335464,0.16179536,0.102144144,0.35337445,240.0,-22.274006,0.015000000223517418,1200.0,0.0019999999552965165
12,0.34387952,0.16279565,0.102262,0.35655412,260.0,-24.255613,0.02500000037252903,1300.0,0.0009999999776482583
13,0.34441087,0.1638253,0.10240004,0.35930234,280.0,-24.527136,0.015000000223517418,1400.0,0.006999999843537807
14,0.34481266,0.16469534,0.1025999,0.36154035,300.0,-26.323215,0.015000000223517418,1500.0,0.0009999999776482583
15,0.3453538,0.16605625,0.1026022,0.36357135,320.0,-27.208979,0.015000000223517418,1600.0,0.0009999999776482583
16,0.3459886,0.16720366,0.10274266,0.36615044,340.0,-27.82214,0.020000000298023225,1700.0,0.0019999999552965165
17,0.34648398,0.16834256,0.10296057,0.36871085,360.0,-29.666727,0.02500000037252903,1800.0,0.0
18,0.34705237,0.16955535,0.103246786,0.3715993,380.0,-29.217518,0.055000001564621925,1900.0,0.003999999910593033
19,0.34747052,0.17075865,0.1034597,0.37404,400.0,-31.79657,0.020000000298023225,2000.0,0.0029999999329447745
20,0.3477587,0.17183998,0.103607714,0.3763957,420.0,-30.168736,0.05000000037252903,2100.0,0.0019999999552965165
21,0.34807494,0.17271493,0.10369923,0.37831122,440.0,-31.342295,0.06000000089406967,2200.0,0.003999999910593033
22,0.34850267,0.17350523,0.1038218,0.3803942,460.0,-30.301785,0.09500000216066837,2300.0,0.005999999865889549
23,0.34884354,0.17420186,0.10386185,0.38220283,480.0,-31.99356,0.08000000305473805,2400.0,0.003999999910593033
24,0.3491514,0.17530076,0.103865184,0.38402712,500.0,-31.101028,0.10499999970197678,2500.0,0.0029999999329447745
25,0.34963176,0.17614794,0.10389254,0.38592494,520.0,-33.185783,0.07000000029802322,2600.0,0.006999999657273293
26,0.35003456,0.1769994,0.10396121,0.38782555,540.0,-33.48241,0.08000000305473805,2700.0,0.005999999865889549
27,0.3502604,0.17763664,0.1039833,0.38944563,560.0,-33.73988,0.045000001043081286,2800.0,0.0019999999552965165
28,0.35038272,0.17828007,0.1040511,0.39077604,580.0,-34.776802,0.06500000171363354,2900.0,0.0009999999776482583
29,0.35085684,0.17873727,0.10414578,0.39265022,600.0,-35.893116,0.07000000141561032,3000.0,0.006999999843537807
30,0.35120255,0.17931175,0.104207516,0.3943174,620.0,-34.692135,0.08500000126659871,3100.0,0.00799999963492155
31,0.35145497,0.17988415,0.104345456,0.3958446,640.0,-36.267365,0.08000000156462192,3200.0,0.006999999843537807
32,0.35161152,0.18053831,0.10437657,0.397215,660.0,-35.596886,0.1,3300.0,0.004999999888241291
33,0.35182956,0.18108498,0.10446002,0.39866304,680.0,-35.08755,0.105,3400.0,0.006999999843537807
34,0.35212225,0.181646,0.1045738,0.40030283,700.0,-37.626625,0.089999996,3500.0,0.005999999865889549
35,0.35230777,0.18211274,0.10476079,0.40207395,720.0,-36.155197,0.089999996,3600.0,0.006999999657273293
36,0.35244736,0.18262872,0.10487242,0.4034556,740.0,-35.838993,0.10999999977648259,3700.0,0.008999999798834323
37,0.35253718,0.18311143,0.10495329,0.40483528,760.0,-35.663147,0.14500001,3800.0,0.007999999821186066
38,0.35266504,0.18363057,0.105039194,0.40616217,780.0,-40.39165,0.0800000037997961,3900.0,0.013999999687075614
39,0.3528312,0.18423755,0.105096206,0.4074441,800.0,-34.05587,0.155,4000.0,0.009999999776482582
40,0.3528349,0.18482651,0.10516926,0.40870947,820.0,-37.7078,0.095000006,4100.0,0.004999999888241291
41,0.35293362,0.1854005,0.10523395,0.40990868,840.0,-37.890038,0.155,4200.0,0.008999999798834323
42,0.3531942,0.18600877,0.10527407,0.4110426,860.0,-36.87894,0.14499999769032001,4300.0,0.005999999865889549
43,0.35347012,0.18641345,0.10535431,0.41211462,880.0,-39.81098,0.1,4400.0,0.009999999776482582
44,0.3537047,0.18692942,0.10538695,0.41311342,900.0,-36.567772,0.1650000013411045,4500.0,0.006999999843537807
45,0.35396764,0.18744479,0.10544723,0.41416126,920.0,-36.355278,0.185,4600.0,0.006999999843537807
46,0.35418376,0.1879373,0.10545955,0.4150517,940.0,-38.20094,0.13,4700.0,0.007999999821186066
47,0.35448986,0.18833186,0.10551743,0.41599375,960.0,-40.753304,0.15,4800.0,0.007999999821186066
48,0.35465667,0.18866897,0.105531596,0.41677293,980.0,-39.43799,0.120000005,4900.0,0.004999999701976776
49,0.3548453,0.18894412,0.10560153,0.41757554,1000.0,-39.743256,0.1449999988079071,5000.0,0.010999999754130841
